"","mutated_alleles","product","paramset","mean_product","sd_product","cv_product","fano_product","gini_product"
"1",0,"A1",1,100.707831325301,19.4905399346522,0.193516278877184,3.77173676146106,0.108020110173867
"2",0,"Anonsense1",1,0,0,0,0,0
"3",0,"Aprime1",1,0,0,0,0,0
"4",0,"B1",1,101.80421686747,24.5393988713646,0.241021338928602,5.91451877247933,0.134759923935877
"5",1,"A1",1,51.671686746988,12.2048494466904,0.236154239826581,2.88222694328105,0.128537309298956
"6",1,"Anonsense1",1,52.210843373494,12.1842899399576,0.233322350863105,2.8428671723886,0.12842516903343
"7",1,"Aprime1",1,8.86144578313253,8.74714049193057,0.985988158611271,8.6245769467527,0.464315416829198
"8",1,"B1",1,99.5572289156626,24.1974451630485,0.243026198746022,5.88061311734098,0.136281264040737
"9",2,"A1",1,0,0,0,0,0
"10",2,"Anonsense1",1,104.340361445783,17.7901954698046,0.170485230940458,3.03296558314553,0.0950388061840477
"11",2,"Aprime1",1,14.3734939759036,11.2295045593967,0.780721608964361,8.76711686748479,0.384272198511916
"12",2,"B1",1,13.6114457831325,18.5435615577155,1.36135046550478,25.2442861587125,0.610243695871923
"13",0,"A1",2,99.0030120481928,18.8091863032291,0.189966812584937,3.57312116934069,0.106709570730741
"14",0,"Anonsense1",2,0,0,0,0,0
"15",0,"Aprime1",2,0,0,0,0,0
"16",0,"B1",2,101.168674698795,24.6754494853025,0.243879943661649,6.01784723030143,0.136298732666515
"17",1,"A1",2,50.9006024096386,11.7578436736303,0.230950786616587,2.71548324533979,0.129133153821251
"18",1,"Anonsense1",2,51.1566265060241,12.9889396851348,0.253855697983245,3.29731634983216,0.141586094899348
"19",1,"Aprime1",2,9.37048192771084,8.89268525961425,0.947998762552317,8.43025462188154,0.443833130955422
"20",1,"B1",2,92.5060240963855,27.5034185159933,0.297282754902432,8.17629202566905,0.163504617620074
"21",2,"A1",2,0,0,0,0,0
"22",2,"Anonsense1",2,105.53313253012,18.4687729872912,0.174987917683991,3.23181212722443,0.0978255241554871
"23",2,"Aprime1",2,15.4006024096386,10.5555243020702,0.684952088275815,7.23002841354913,0.347750782745306
"24",2,"B1",2,10.7259036144578,14.3604922565944,1.3376137465742,19.2087918499931,0.580519096679551
"25",0,"A1",3,100.521084337349,17.8586978486919,0.177643541461902,3.17248233173967,0.097725570729737
"26",0,"Anonsense1",3,0,0,0,0,0
"27",0,"Aprime1",3,0,0,0,0,0
"28",0,"B1",3,99.9186746987952,25.0979232790494,0.251158372256007,6.30355355777219,0.141026334857412
"29",1,"A1",3,50.7590361445783,12.5501679544335,0.247201225540181,3.10241689907108,0.135950576047206
"30",1,"Anonsense1",3,51.0090361445783,12.3284571077366,0.2416442575042,2.97910086397137,0.133139089048613
"31",1,"Aprime1",3,8.73795180722892,8.7327217074994,0.998259009644185,8.71751812322662,0.469826413603688
"32",1,"B1",3,99.328313253012,24.0807562446754,0.242411567663147,5.83745387178588,0.136695480471829
"33",2,"A1",3,0,0,0,0,0
"34",2,"Anonsense1",3,103.924698795181,18.5780884377171,0.178747700749372,3.32079059256041,0.099777349674282
"35",2,"Aprime1",3,15.8825301204819,11.6572940062837,0.733507749735839,8.55071549455828,0.370762443171437
"36",2,"B1",3,32.3373493975904,34.3773364212287,1.06275589998696,36.5347171074973,0.556501212656916
"37",0,"A1",4,100.394578313253,18.2067108773023,0.181333472867134,3.30148611286906,0.100208963471746
"38",0,"Anonsense1",4,0,0,0,0,0
"39",0,"Aprime1",4,0,0,0,0,0
"40",0,"B1",4,97.25,23.3917284680948,0.240507181452753,5.6258786831696,0.135345299158558
"41",1,"A1",4,56.8373493975904,12.6928884229728,0.22328021548021,2.83407086214762,0.124167224046692
"42",1,"Anonsense1",4,55.5722891566265,13.0621642974531,0.235005871396282,3.06968530304436,0.130406836589249
"43",1,"Aprime1",4,42.566265060241,19.3515374197915,0.454514678363899,8.79555780620349,0.250761758316452
"44",1,"B1",4,93.8975903614458,28.7202633852704,0.305835377893602,8.78367260563796,0.171199557322797
"45",2,"A1",4,0,0,0,0,0
"46",2,"Anonsense1",4,120.006024096386,18.3326090817876,0.152751344829292,2.80033069147275,0.0855390497120658
"47",2,"Aprime1",4,62.9819277108434,17.3948191375649,0.276143622995849,4.80346837800472,0.150545407314221
"48",2,"B1",4,32.3915662650602,23.1821303448998,0.715463263573708,16.5859626331531,0.371959423477783
"49",0,"A1",5,100.454819277108,19.1972054147898,0.191083859533344,3.66827610291243,0.105816043916187
"50",0,"Anonsense1",5,0,0,0,0,0
"51",0,"Aprime1",5,0,0,0,0,0
"52",0,"B1",5,98.4096385542169,23.6150068240724,0.239942019407676,5.66623242569399,0.134846378606171
"53",1,"A1",5,50.9397590361446,13.0282977142637,0.255708720918998,3.33144934426629,0.14176084994117
"54",1,"Anonsense1",5,51.8433734939759,13.5157796803453,0.260653816128578,3.52293955163508,0.145046327581187
"55",1,"Aprime1",5,9.39156626506024,10.0847011626226,1.07266181807399,10.8174738838317,0.49023223328095
"56",1,"B1",5,98.183734939759,24.268251123519,0.247146634542493,5.99781659140981,0.138241477556495
"57",2,"A1",5,0,0,0,0,0
"58",2,"Anonsense1",5,103.237951807229,18.9309607347879,0.183354346535932,3.47107393482443,0.10234671166534
"59",2,"Aprime1",5,16.2289156626506,11.8829388994106,0.731756919382325,8.6954227622411,0.370690454124189
"60",2,"B1",5,14.2650602409639,18.2018453547052,1.27508010806658,23.2088109418887,0.594786803092401
