paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_B1
1,468.051007947302,0,0,367.418609295138
2,297.409248435042,0,0,261.046068451318
3,277.56704379964,0,0,104.425861999603
4,301.227923444778,0,0,37.555819174388
5,48.8075077865581,0,0,59.4300789226514
6,586.792311675026,0,0,283.98605166395
7,603.757317135717,0,0,527.29387170871
8,58.2772471606885,0,0,12.3704906415927
9,207.571876828524,0,0,435.715627015345
10,652.57333503875,0,0,148.862344617981
11,193.628688475318,0,0,83.2569476597969
12,297.835871845026,0,0,15.685129882426
13,148.939790231796,0,0,171.160838623073
14,15.3647564803083,0,0,4.0399761523928
15,79.0112999925843,0,0,5.54282061101441
16,8.35772833043388,0,0,0.47593448633094
17,18.4329469642786,0,0,0.00546798624702907
18,283.340518075121,0,0,144.354186155405
19,622.121830580565,0,0,1452.30610248752
20,74.6588875614819,0,0,21.0978024713146
21,457.496132198051,0,0,721.809487193404
22,575.492236276631,0,0,385.865129624381
23,70.2671512932291,0,0,6.41261757624012
24,7.7326207159727,0,0,1.04850330716335
25,10.8995989743516,0,0,0.000297515632484887
26,80.7424422424604,0,0,8.01952776832977
27,255.93676572339,0,0,170.188159447428
28,187.682689778829,0,0,121.066946638537
29,66.2592040404686,0,0,47.9553803679872
30,697.083812040137,0,0,243.833397043599
31,453.358109765006,0,0,173.113295816817
32,29.4753851133813,0,0,9.37937682983172
33,591.427139428289,0,0,269.039046767976
34,708.429626453112,0,0,287.457887994392
35,509.943161031326,0,0,1605.67700058652
36,635.736276731241,0,0,1052.49205578024
37,535.541186322515,0,0,360.490475299619
38,70.0302127682038,0,0,1.98748647981343
39,489.166062938416,0,0,879.565745614707
40,542.860960307576,0,0,774.185087794717
41,188.780848676078,0,0,122.663053490695
42,523.283100636107,0,0,481.298889416193
43,449.45741913013,0,0,220.990090522481
44,862.120780294189,0,0,645.307290410863
45,578.570354530693,0,0,511.611118501039
46,245.554245638439,0,0,214.505046420743
47,587.96360423394,0,0,787.841849121014
48,88.5069713093054,0,0,25.620041608899
49,51.1501343300707,0,0,6.4750916607377
50,479.815733791895,0,0,441.800742690849
51,374.623501851012,0,0,303.78016927518
52,287.487699573212,0,0,467.54024075731
53,609.28723493975,0,0,798.266661792525
54,96.4808443371807,0,0,50.8004722885066
55,145.872260404402,0,0,43.9917744204975
56,182.769975056843,0,0,51.4791619135607
57,391.15757174039,0,0,49.742497008045
58,5.5366038683706,0,0,12.1475007320441
59,340.52321259113,0,0,329.824536388489
60,435.615331966642,0,0,316.94260402054
61,46.049867898139,0,0,0.183794776737045
62,474.089523431265,0,0,516.975408010201
63,332.419357167562,0,0,94.7480989746277
64,21.9153692276465,0,0,2.30449039939754e-05
65,353.54196205778,0,0,13.6539738246361
66,216.927589505835,0,0,216.915199201159
67,120.97017763935,0,0,36.8781102621227
68,482.55652675744,0,0,435.935494897233
69,270.631562955363,0,0,264.845074609479
70,523.519690142008,0,0,451.156785722066
71,25.4186508502242,0,0,1.2483210207416
72,307.024335369225,0,0,419.539544322016
73,52.7147357127054,0,0,24.923195752205
74,309.420655442329,0,0,318.376707305923
75,521.914100126151,0,0,185.524653997287
76,81.8378218297118,0,0,9.22262590293303
77,684.880116401609,0,0,678.581106569781
78,488.706891175776,0,0,98.2454538619114
79,145.958117174076,0,0,57.8997841561997
80,684.553891875482,0,0,1048.27655034783
81,255.24935795214,0,0,140.762938279466
82,29.7530834870147,0,0,0.0442784868148982
83,943.106269444182,0,0,775.971375407361
84,217.863393448529,0,0,244.754538438237
85,518.525052881462,0,0,291.411393560493
86,39.9705853008816,0,0,19.0043647421127
87,29.1876792232434,0,0,1.81205541359465
88,392.187614971259,0,0,738.283391062904
89,445.115093871132,0,0,581.080255285621
90,61.5420594043855,0,0,117.806732881955
91,175.184903459697,0,0,308.534133822106
92,314.467250474378,0,0,47.6915601559418
93,500.354657260382,0,0,326.543060337934
94,395.68848114827,0,0,392.386779903192
95,424.640648332736,0,0,696.069625397795
96,252.7150967551,0,0,288.045107968958
97,358.966651414604,0,0,223.454978067743
98,45.1848648365196,0,0,0.0429160488793051
99,41.5752205898151,0,0,4.50514663319366
100,843.392186832666,0,0,938.275544863754
