paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_B1
1,0,548.751782582944,136.778435169394,486.279256870752
2,0,118.228956795817,107.44732743705,80.0692160438071
3,0,1285.75506488858,748.877492187579,235.608521317965
4,0,26.8672087492926,4.45850148025114,23.4348064453729
5,0,896.915879010249,588.996330236154,554.212995540975
6,0,105.847424097024,19.3763156034135,97.7757441683032
7,0,959.179022126401,348.357784031951,896.375845392018
8,0,5.65126671200569,2.28404532487105,4.56464141904616
9,0,29.0775138324588,2.17256929572986,28.0403758175392
10,0,81.1902465519509,19.4238637715725,76.1944541891647
11,0,1120.82400956474,550.68352687827,828.823074443932
12,0,1173.79806723393,947.401298693363,927.991127073525
13,0,1271.10729477688,541.717979029004,1194.61500992589
14,0,255.900367205699,34.624387691126,234.834287769948
15,0,799.98507150439,496.886796433512,646.80937844899
16,0,396.397877071412,161.439950685353,331.276999450283
17,0,718.770583521468,140.44309908885,691.402131702631
18,0,49.7536015021259,17.847298041478,42.3748675992381
19,0,589.991079360926,181.06382406056,539.50512625417
20,0,873.937491437105,431.025977362095,790.744215989226
21,0,383.196417535391,141.47938555868,364.6950170211
22,0,93.3615556811285,41.030339939206,80.2772190477166
23,0,567.680277775103,135.863083959188,501.066492376216
24,0,514.17630776954,132.636730703377,489.091135028327
25,0,112.907035752815,17.2691640855703,107.430853603753
26,0,151.832656395681,41.758405113621,150.268624700792
27,0,793.596599345545,210.345525908269,760.720307511826
28,0,158.988522048043,36.2262026673765,144.650859545926
29,0,299.610551385834,171.417047732451,165.209945727287
30,0,569.84577987799,220.774623544836,538.212908382233
31,0,777.467670438784,167.045236695297,741.920795830856
32,0,376.057309047712,245.468084210275,300.146275125259
33,0,213.402949743014,60.6024979025072,195.814228843897
34,0,235.918721088599,166.395670657206,187.130071141168
35,0,195.681054013714,27.0827448587057,185.851384096459
36,0,423.138920659846,93.1187061373656,370.270674816976
37,0,80.1132966771172,16.8141267797283,76.7787911902716
38,0,398.742062206863,259.544804822711,286.181769124325
39,0,1333.56202076543,781.396065342798,1038.87919294406
40,0,190.067063951332,61.0988940857832,177.788611271524
41,0,57.0282222631443,1.94658788400841,55.7958608938826
42,0,72.6827249887545,45.688681026339,64.2423416150675
43,0,1326.74584896453,1122.24785272409,769.599829504086
44,0,219.487002490277,96.3822030285555,181.960408680277
45,0,1157.3568541238,417.997703855698,1091.02294888307
46,0,381.680961290827,68.1803080921359,369.167851176196
47,0,346.300312043574,97.4071236859752,258.816111749875
48,0,190.751509646153,185.181768090834,134.217167485556
49,0,415.651859606238,101.714109431413,390.798841542499
50,0,271.085067358466,72.9983752850237,257.924638194572
51,0,336.931432736031,88.6512264720102,289.835441089808
52,0,45.5593877182535,4.51691716063461,43.3494359242072
53,0,461.427236540517,251.585920630183,330.364473381619
54,0,431.819551939562,99.2338870626204,405.541380194118
55,0,650.501595205757,392.50873999208,565.061646819667
56,0,648.625654846594,111.557521111653,626.22939051619
57,0,876.665844387009,267.130812463005,751.722838751158
58,0,363.600169593295,35.9656332856702,348.08705948387
59,0,170.486945893904,50.0282736444844,158.074118723622
60,0,1046.90560573323,778.245884999578,638.604066478744
61,0,12.59063911113,0.577001203853256,12.2342939458927
62,0,222.468748288076,28.0600688200049,208.293007479098
63,0,1083.0257728503,285.686754795137,699.952527851866
64,0,1345.18118550835,619.453109689535,1245.30947047852
65,0,203.067202387934,6.17171626841205,200.964103815027
66,0,241.096997315832,83.06318930911,226.340153646786
67,0,238.994682166399,55.7861394821468,211.386273479676
68,0,67.1886900386888,6.88704813652781,64.309226111536
69,0,760.526736432348,195.959970075473,727.897578051726
70,0,260.634484831321,160.211592743599,210.461127279987
71,0,1223.75156566644,565.230857461918,1058.75648895001
72,0,1049.4819945081,293.435181486132,1005.68513534798
73,0,57.3471623539028,2.91880113655925,57.3449813848898
74,0,542.71895442764,125.351374603726,481.965617565348
75,0,768.928226702264,204.148707524058,730.99873811117
76,0,279.121101075727,97.7632607357392,223.207055174105
77,0,684.013907082311,157.729717267717,651.647819904309
78,0,387.186420134765,141.022606174859,356.927479132701
79,0,114.245234245707,15.9058260389861,108.444670832658
80,0,559.250854242037,154.251728657682,536.805340294961
81,0,1075.1858475273,506.099570949719,864.568519801467
82,0,1185.82983415587,320.646501626467,940.197770763949
83,0,223.986086877472,78.4562083552162,203.137097260946
84,0,172.876476893032,55.6179658539627,164.864548944313
85,0,875.113118009794,472.99574346174,639.07072654249
86,0,905.637670511305,268.37795978774,848.445859818845
87,0,39.0844284040161,9.38906671246575,35.339226608853
88,0,254.925035468882,94.2175227998284,181.900065950295
89,0,1681.84083188407,1659.41905036102,968.896628735756
90,0,471.5268406774,156.811874882731,397.707640741809
91,0,611.705331809082,577.144203360665,457.564796152882
92,0,201.595068532185,35.772539557092,176.083793765134
93,0,58.4024855242125,2.48625243880928,58.201039513741
94,0,1268.26338162194,510.983916237679,1184.23438760171
95,0,385.426307215077,153.32488379466,319.910390014856
96,0,101.580461319052,2.69731388820994,100.73883968189
97,0,895.073652289554,162.895004768311,849.690312169744
98,0,1206.37704541885,995.257701080489,931.232252760179
99,0,196.650174562745,39.0216760977447,169.512460475545
100,0,356.278786759471,217.344820235015,236.481169293247
