,KO_Gene,Paralog,Perc_ID,FC2,Base_Mean,padj,KO_FC2,significant,upreg
0,BUB1B,BUB1,21.7512,0.814311511062267,347.066613251135,0.000549563019699405,0.464404954578115,1,1
1,FOSL1,BATF,29.6,0.123989281566354,21.6978390636527,0.926940845118887,-0.965064350551973,0,0
2,FOSL1,FOSL2,44.1718,-0.158465675562751,284.94403369925,0.833354608209995,-0.965064350551973,0,0
3,FOSL1,JDP2,33.1288,-0.544742415439916,19.939150252328,0.479149939254585,-0.965064350551973,0,0
4,FOSL1,ATF3,31.4917,0.161208455577727,18.8962668296839,0.922979505641155,-0.965064350551973,0,0
5,FOSL1,FOS,34.2105,0.563152910433923,70.3799154505318,0.00476331358011658,-0.965064350551973,1,1
8,FOSL1,FOSB,34.0237,-0.51803785217413,10.5156530279069,0.722412498826816,-0.965064350551973,0,0
25,INO80,CHD4,12.1339,-0.333092909016373,1783.15851903729,0.059463435887012,-0.109433087017929,0,0
27,INO80,CHD6,9.02394,-0.572525266702269,612.679890364449,0.00457438529992558,-0.109433087017929,1,0
28,INO80,SRCAP,9.72136,-0.564934905978784,706.93910336775,0.00384045870665086,-0.109433087017929,1,0
29,INO80,CHD1,13.9766,0.0752003920616849,470.39275343768,0.600787618252137,-0.109433087017929,0,0
30,INO80,CHD2,13.512,-0.978716502475196,568.896370065342,1.13499011107558e-05,-0.109433087017929,1,0
31,INO80,RAD54L,19.8126,0.764496027526255,85.5351953395725,0.000143040224275085,-0.109433087017929,1,1
34,INO80,EP400,7.74896,-0.448300297627777,544.540957331396,0.0143990128436098,-0.109433087017929,1,0
33,INO80,CHD8,9.33747,-0.229814506425236,341.299807514502,0.124000075904927,-0.109433087017929,0,0
24,INO80,SMARCAD1,20.9552,0.0121905716563759,206.575316237883,0.955532154624845,-0.109433087017929,0,0
35,INO80,ERCC6,20.8975,-0.46084490354037,68.9250142542575,0.049265267891845,-0.109433087017929,1,0
36,INO80,ERCC6L,13.84,1.24401675480908,59.0825422169036,0.000183215793110851,-0.109433087017929,1,1
38,INO80,SMARCA4,14.9362,-0.0389671995917587,1012.8096496809,0.820579741896296,-0.109433087017929,0,0
32,INO80,CHD7,9.14248,-0.0822568697200269,488.11799058845,0.587448312223732,-0.109433087017929,0,0
23,INO80,RAD54L2,13.4288,-0.421675145643613,140.523121470079,0.059961589709425,-0.109433087017929,0,0
26,INO80,ATRX,8.42697,-0.252961051590476,389.951326566989,0.0373123339790933,-0.109433087017929,1,0
21,INO80,CHD1L,24.5262,0.0422888942797361,268.856187132656,0.818158035233276,-0.109433087017929,0,0
22,INO80,CHD3,11.75,-0.900810895769615,900.521247624979,7.40525072478929e-07,-0.109433087017929,1,0
10,INO80,RAD54B,18.4615,0.946071923241314,29.1837199112182,0.00734222452844754,-0.109433087017929,1,1
11,INO80,HLTF,15.56,0.207263055079389,563.240382384238,0.0600851833966386,-0.109433087017929,0,0
12,INO80,HELLS,24.2243,0.713831589406415,276.855367414278,0.000326866303135085,-0.109433087017929,1,1
13,INO80,SHPRH,8.91266,-0.740933585755105,107.596790476648,0.00367445218225358,-0.109433087017929,1,0
14,INO80,BTAF1,12.98,-0.441062074460089,598.403134611343,0.00541924955602178,-0.109433087017929,1,0
9,INO80,SMARCA1,23.0841,-0.0818580000477904,511.097260594888,0.434440951086522,-0.109433087017929,0,0
16,INO80,SMARCA5,23.7643,0.267813917358619,503.287768333806,0.0108367879563899,-0.109433087017929,1,1
17,INO80,TTF2,14.716,0.0211781243804492,299.434617195743,0.895542469338659,-0.109433087017929,0,0
18,INO80,SMARCA2,15.4717,-0.394468797762392,222.488141198356,0.00165272302606161,-0.109433087017929,1,0
19,INO80,CHD9,9.25095,-0.244345236719757,374.091369078846,0.0678876050101795,-0.109433087017929,0,0
20,INO80,SMARCAL1,12.9979,-0.220468748277765,136.30051403524,0.174379742236797,-0.109433087017929,0,0
15,INO80,ZRANB3,13.8091,-0.0499090614131548,35.5894939142804,0.887806409596355,-0.109433087017929,0,0
39,JUNB,JUN,48.9426,0.619041820877511,31.6654066690206,0.1819501347793,-0.100033772670745,0,0
40,JUNB,JUND,41.2104,0.429190754697449,287.342637764484,0.00640722052344796,-0.100033772670745,1,1
45,KDM1A,PAOX,22.3092,-0.978145367228408,6.85721863536749,0.353743719441732,-0.519442836890158,0,0
44,KDM1A,KDM1B,28.4672,-0.350772769140594,174.78892840903,0.0529473171231053,-0.519442836890158,0,0
42,KDM1A,SMOX,22.3423,-0.21256985771671,132.473327270289,0.387049461249967,-0.519442836890158,0,0
41,KDM1A,MAOA,21.2524,0.887775301686155,53.0108703631452,0.000205818528618129,-0.519442836890158,1,1
43,KDM1A,PPOX,15.7233,-0.239458498669765,97.755773608053,0.337160246650565,-0.519442836890158,0,0
59,KLF6,KLF3,26.6667,0.035921758087261,116.466082998402,0.96192816557782,0.220524330482274,0,0
67,KLF6,KLF9,25.0,-0.00127976772002488,161.242723319952,0.99909093659097,0.220524330482274,0,0
66,KLF6,KLF4,19.833,0.68864131434988,9.6474523819252,,0.220524330482274,0,0
65,KLF6,KLF10,16.0417,0.190932397936777,100.976283023636,0.74879051050623,0.220524330482274,0,0
60,KLF6,KLF2,25.9155,0.581525735689856,15.1634672444275,0.563407318829937,0.220524330482274,0,0
58,KLF6,KLF7,53.3113,0.851934301146105,38.2922124578367,0.000917093120313597,0.220524330482274,1,1
55,KLF6,KLF16,24.6032,-0.303937600318655,142.311679599112,0.473370880839585,0.220524330482274,0,0
56,KLF6,KLF5,20.7877,-0.719713135185846,5.93818814566803,,0.220524330482274,0,0
52,KLF6,KLF13,22.5694,-0.630019421160375,264.04689454656,0.156284603289727,0.220524330482274,0,0
51,KLF6,KLF15,18.0288,0.327052692413602,91.5396163238159,0.172929610727906,0.220524330482274,0,0
49,KLF6,KLF11,15.8203,-0.373285209445365,14.0588421046886,0.738502177875631,0.220524330482274,0,0
57,KLF6,KLF12,23.3831,-0.113650059754045,70.5150224863594,0.854584144177467,0.220524330482274,0,0
91,MTF1,MAZ,12.514,-0.095610409487517,229.699007921028,0.803655903762312,-0.481235542838999,0,0
92,MTF1,ZBTB18,15.7233,0.0659351989963138,130.773368205322,0.864122198209509,-0.481235542838999,0,0
93,MTF1,ZNF143,11.2994,-0.141101743190894,58.7091138710158,0.823334894040563,-0.481235542838999,0,0
95,MTF1,SNAI1,12.63,0.147707754841964,64.6038232940138,0.807403464345356,-0.481235542838999,0,0
96,MTF1,ZNF148,20.0758,0.133431113268157,250.474808526691,0.646280453046577,-0.481235542838999,0,0
98,MTF1,ZBTB45,10.883,0.292689916295319,54.7968478739577,0.447308717515894,-0.481235542838999,0,0
102,MTF1,ZNF692,7.72856,-0.0958043908829421,199.893274493239,0.753377278904911,-0.481235542838999,0,0
101,MTF1,ZNF451,13.0332,0.128765824756709,121.496711271869,0.80335945225211,-0.481235542838999,0,0
104,MTF1,VEZF1,12.4343,0.0595381723860014,353.450954796113,0.884925198623985,-0.481235542838999,0,0
106,MTF1,ZNF384,17.5287,0.164004898244317,315.654651112236,0.448069581860737,-0.481235542838999,0,0
107,MTF1,PRDM10,15.2961,-0.193319401527179,69.271237638896,0.663505275552733,-0.481235542838999,0,0
109,MTF1,TF,40.9859,0.664227307837734,5.03534210694131,,-0.481235542838999,0,0
110,MTF1,SRPRB,42.2636,-0.00130443217546171,239.155096163335,0.998214348760838,-0.481235542838999,0,0
100,MTF1,ZBTB42,11.6317,0.486894785842431,13.8009630981858,0.533030541511284,-0.481235542838999,0,0
89,MTF1,ZBTB20,21.2687,0.0383393000058493,19.8320213548862,0.976200734555573,-0.481235542838999,0,0
90,MTF1,ZNF281,9.17679,-0.101721140926045,213.034408417138,0.788117099965353,-0.481235542838999,0,0
87,MTF1,SNAI3,7.99439,0.347215887992808,2.51003150204495,,-0.481235542838999,0,0
68,MTF1,IRF2BP1,14.726,0.0956774690101248,156.121075995211,0.816157449872042,-0.481235542838999,0,0
69,MTF1,IRF2BP2,17.7172,-0.228861991680556,578.101602507228,0.744032589268152,-0.481235542838999,0,0
88,MTF1,SNAI2,21.5753,-0.681964987818622,493.839361983255,0.000926672411525553,-0.481235542838999,1,0
73,MTF1,ZNF575,97.561,-0.152850681078002,9.15232795865634,0.93015343756876,-0.481235542838999,0,0
74,MTF1,ZNF276,23.6735,-0.251657057355439,185.946530788236,0.457888773606225,-0.481235542838999,0,0
75,MTF1,HIC1,11.5635,-0.293455650533767,14.1912072498804,0.790043360306727,-0.481235542838999,0,0
