paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_B1
1,536.174602535165,0,17.3193708462344,485.82508941032
2,185.857984741416,0,4.65268992227572,51.4313238982288
3,6.61912723135294e+17,0,4.49760257201491,NaN
4,1000.37579043887,0,26.1699404967573,301.484000135183
5,770.296066230979,0,18.4764609818419,680.214717066438
6,1.06647669001589e+43,0,3.22473147472321e+41,NaN
7,843.252733078102,0,19.0809018945663,551.175691547743
8,198.124305446561,0,30.3326923248683,-791.570926481633
9,988.228193011596,0,32.2948020998642,85.962484393461
10,131.516743315533,0,9.32107371635668,145.582828991917
11,10.5881768395398,0,0.131635284753019,-7.1292778214308
12,229.052855634348,0,3.32762876588924,-143.677999581426
13,467.823989882438,0,26.1145810440613,240.933865256796
14,468.97294313363,0,20.3002257637821,570.220430460597
15,286.707140742719,0,5.0979544463533,362.632700093906
16,835.941816772182,0,19.5512005075911,2195.46886936167
17,259.150276946482,0,20.6823537926314,128.609979722976
18,882.915455647507,0,90.0612286912277,618.766700628456
19,-3.95672349232408e+35,0,4.33906209630421e+28,NaN
20,72.9423740351708,0,1.44234554354134,54.7800678244242
21,496.554846401047,0,29.1035259232769,-21.8795794934881
22,730.137555688671,0,51.748567331129,-508.754018182545
23,60.8102992983742,0,2.17576363156398,21.5185625596158
24,543.363424924788,0,10.7230566200731,-580.67761195609
25,611.666922642192,0,20.2126962447577,148.320153709955
26,560.093700867459,0,-1.29237639580402e+30,NaN
27,511.462142489,0,40.3707806312839,488.348054136163
28,503.466282980053,0,13.1745697246553,-194.994944549939
29,174.161878917036,0,3.42868795433844,43.158970740134
30,247.485352542923,0,13.0253416257696,96.1939720936966
31,942.216718371246,0,249.31127455393,1042.28448343817
32,1010.97224292545,0,38.9139179371353,-221.496790540902
33,15.02824623478,0,0.376497474428494,16.9798198485231
34,2.39907837009935,0,0.0818901688101076,4.29341771494658
35,96.2707756359947,0,2.3025644202639,274.772903310041
36,821.322986287798,0,17.563857440689,270.125076114297
37,849.364195691538,0,42.9306819079192,163.753089263563
38,1075.67151653858,0,102.484657900554,618.758280445399
39,523.451933594095,0,17.4098247002664,166.116591596207
40,457.95310852028,0,9.49186306429304,210.741024110034
41,5.69844985772448,0,0.20685226475523,-1.46032172497564
42,2.01540487779001e+55,0,-9.73622596100055e+30,NaN
43,-161915.47399979,0,700135.384747281,NaN
44,763.480613466057,0,24.2456380778985,588.260667496246
45,638.361493917542,0,54.6923993336669,426.326965181108
46,164.779962874733,0,51.3921945970654,206.250145497826
47,245.690905183253,0,10.6552453796594,-882544.092984245
48,114.0416890038,0,1.29933684081102,75.0739730385649
49,886.668289788938,0,44.174783002509,676.267475584
50,408.720080906991,0,15.3434586869352,333.914965625319
51,240.52685368522,0,52.4970259730547,-77.3001772284898
52,4.31466710960993,0,0.0711669833407833,4.78144358584463
53,1047.74580514536,0,45.5899920217044,632.237783476623
54,692.56432518465,0,51.5096322812886,875.759437391955
55,2.22786244048408e+17,0,12.0984110885122,NaN
56,200.551033154463,0,7.04927787445262,66.891843093424
57,719.740135371393,0,105.408164802027,422.233636146806
58,284.899560311949,0,23.2600052767439,115.101935608981
59,267.024388283669,0,5.85604740252797,228.676508796431
60,576.372205998777,0,12.2564489096884,1203.58901527749
61,653.156175521117,0,19.9888442031208,350.783970223363
62,151.035899408281,0,20.0425674902167,122.660278813703
63,250.21414684741,0,12.904025866073,455.966096768067
64,135.205121962878,0,25.1574963038514,73.7356482448057
65,102.998100039608,0,4.79096963997054,120.611775627727
66,328.306485404545,0,10.9699908460339,26.4325128433795
67,874.369593853895,0,77.1782234163365,612.085800063657
68,632.219488192297,0,108.556179523201,1530.8345035948
69,5.87626690884384e+24,0,1.38783607167518e+22,NaN
70,154.07823374785,0,7.49954718801568,138.481105680315
71,293.393166848687,0,5.78137934009724,130.992578325394
72,321.308064588669,0,10.0584027166835,30.2685238274936
73,712.861595352018,0,26.4054293024957,-4.66332798194879e+224
74,286.009149976611,0,10.7339486420671,-34.3298101432825
75,291.773026734673,0,9.05437238568371,396.943629991422
76,676.945589545883,0,40.1324182338769,501.626050186037
77,199.401645227793,0,3.18642871690566,100.621027252221
78,1.88164179971963e+64,0,4.37345968050031e+41,NaN
79,136.327247868966,0,10.3797328149943,55.7162656115942
80,576.852490030013,0,46.5177387521037,16.9981100962574
81,696.354753025527,0,13.7803882169159,342.772141800695
82,33.099370135784,0,0.485004363591365,19.227979853222
83,590.069695850001,0,52.2722306051147,27.1764251106772
84,654.219578789502,0,45.7409260582529,442.870984240005
85,579.851649352737,0,10.8157600852803,440.868134841607
86,598.876061627664,0,34.6886251218411,248.129271320185
87,219.19050741709,0,13.4718814448052,268.256021129755
88,782.409118727689,0,32.1165481054856,217.716991551482
89,-1.64098146843331e+32,0,-5.00587659891703e+30,NaN
90,228.318053967269,0,37.6582511192881,116.370812090765
91,229.478285618446,0,6.87297631191613,-4.12150483775221e+227
92,127.600104083147,0,54.839394291146,137.016259869201
93,132.621968824513,0,2.45165390575347,88.2630709255028
94,343.845082663261,0,7.78502761423665,-200.968098162899
95,453.809558690912,0,10.6058315118897,363.677005707401
96,584.36288471451,0,51.2210509904793,101.374980040643
97,32.2187625669833,0,2.81147170525818,15.9641477389887
98,200.445590622978,0,5.79566822101544,140.298798147867
99,1048.25065713575,0,30.7761873199967,644.345393737821
100,539.674656063608,0,61.8113074650489,209.708359570601
