paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_B1
1,123.073712993154,123.073712993154,18.1472523506274,245.362455275754
2,520.498671315187,520.498671315187,747.803724810751,1241.1565345759
3,385.359498550458,385.359498550458,115.190226377002,1004.5667825243
4,489.228514775068,489.228514775068,76.3347577446603,1453.93924704429
5,88.29450595663,88.29450595663,40.6941371027774,111.159748556293
6,435.996927257037,435.996927257037,588.61894063691,967.433557777761
7,444.438946247955,444.438946247955,43.3199198293187,1182.47711635717
8,243.893612650346,243.893612650346,70.1056633336436,254.970531917848
9,30.3398929719621,30.3398929719621,3.91467831386815,93.193412842708
10,399.01749110662,399.01749110662,44.1656568184255,1218.04745674067
11,120.129134015264,120.129134015264,11.4476035849124,370.417909306255
12,98.5944999516832,98.5944999516832,8.79531500864464,222.476344891738
13,305.716476809923,305.716476809923,189.539399564498,790.573398824407
14,413.82931689881,413.82931689881,392.477398790141,854.629095088211
15,115.143717978433,115.143717978433,10.2536991907197,292.659483426715
16,137.421677395394,137.421677395394,24.8848998141719,236.373071134087
17,390.113795532575,390.113795532575,92.7367815093669,1226.08533012618
18,256.560653447232,256.560653447232,23.8613636223115,766.728149722282
19,12.457953869282,12.457953869282,1.07909288529839,14.2181300502683
20,100.439477373856,100.439477373856,10.6782235469524,319.176472879025
21,66.0915705801295,66.0915705801295,12.0599055412786,126.728560739152
22,438.835726857029,438.835726857029,46.944302379939,827.793737769498
23,170.966603065999,170.966603065999,38.0153869263066,171.641689863876
24,214.961877682353,214.961877682353,25.3150569485613,451.962785386796
25,72.534410533412,72.534410533412,5.89941093146984,69.0670813521402
26,227.1501608222,227.1501608222,36.4469729584123,720.391389983435
27,59.0604344714828,59.0604344714828,6.80301520715358,141.417903104836
28,397.342078503858,397.342078503858,54.2528131546623,1050.31430313342
29,358.545209036915,358.545209036915,73.3472949061913,1070.5889674054
30,340.282533643299,340.282533643299,47.7657237897816,1064.96264006243
31,417.188013901662,417.188013901662,43.6530580265217,1319.34680601895
32,161.954963466338,161.954963466338,78.2336100031917,457.551437341148
33,471.702508187872,471.702508187872,65.2073812377789,1340.10320763174
34,282.584319759529,282.584319759529,70.5560813095081,440.218214733329
35,9.46139793049626,9.46139793049626,0.950963119639192,30.4423288373814
36,135.285512740174,135.285512740174,20.4351010313076,308.576012251667
37,429.3076004969,429.3076004969,53.1257870895811,736.192210953273
38,109.883376488472,109.883376488472,21.2925352770082,342.409589727659
39,39.4836089289108,39.4836089289108,12.2263576113179,124.010929626953
40,168.64859233231,168.64859233231,89.9701081880834,368.374701403646
41,446.530671828433,446.530671828433,429.960377167002,489.157185531114
42,268.192513079845,268.192513079845,296.664167350241,704.414367603706
43,367.939699187677,367.939699187677,30.1359188004997,184.490386883271
44,489.346232287683,489.346232287683,65.7564602957334,1555.27512587074
45,379.831684689535,379.831684689535,305.910626531977,841.565624914565
46,210.118129891062,210.118129891062,39.8839130032394,539.91140494636
47,143.893500281065,143.893500281065,30.1022150258754,423.219260247731
48,330.022145979138,330.022145979138,54.6068273154051,693.58809483276
49,241.261323162728,241.261323162728,22.2679735607419,738.788054115777
50,339.527891838216,339.527891838216,86.062480102387,976.289755700689
51,436.924041367234,436.924041367234,53.1205447155455,1345.28137338915
52,134.699181992697,134.699181992697,47.489130102954,361.51753133833
53,214.558716549759,214.558716549759,171.435316520134,487.690016791355
54,255.794027971651,255.794027971651,87.6360133206528,599.323669431493
55,320.596175498355,320.596175498355,84.2183571756837,1018.60682797829
56,235.739311460032,235.739311460032,26.1058853799149,167.897579267684
57,197.586660153795,197.586660153795,19.2464779269453,540.627069720211
58,25.9547385901852,25.9547385901852,6.58740894506417,82.7246888472205
59,321.26397923769,321.26397923769,60.8757712787058,987.512511203699
60,408.479056806715,408.479056806715,36.2620238856552,700.914938160221
61,267.924656372573,267.924656372573,30.3968378884317,827.712033589081
62,414.508427755136,414.508427755136,47.9090091513522,786.514470324576
63,200.208964600885,200.208964600885,16.7235102534891,573.69491234142
64,220.227235625777,220.227235625777,23.2511678685141,470.85798124883
65,180.302278925273,180.302278925273,30.0595949814072,571.260802923718
66,309.012632872699,309.012632872699,26.6855473766076,131.283613269003
67,262.18409928643,262.18409928643,75.9478825910102,182.422702322856
68,485.921859703742,485.921859703742,104.470614944798,1383.14879375146
69,461.540631962299,461.540631962299,69.3190366147185,828.550797568627
70,422.595620323114,422.595620323114,47.721999552278,1324.70310045587
71,522.503633353014,522.503633353014,219.067500423253,684.499674971847
72,63.2103418014458,63.2103418014458,7.43482496603693,154.381750232685
73,48.602740610616,48.602740610616,33.7978615766305,98.6951596566372
74,305.043670919972,305.043670919972,38.7975095397963,898.34588742201
75,478.817647683526,478.817647683526,79.950366013036,1196.71079117518
76,162.168029548574,162.168029548574,13.0442572171925,491.843878277898
77,260.348264050701,260.348264050701,21.6340434883311,693.672781036792
78,341.652330513276,341.652330513276,178.265706399467,802.160766669237
79,299.297156322079,299.297156322079,71.6966179768718,933.6036193353
80,100.55734717692,100.55734717692,54.6792684739682,186.590692124229
81,87.0563421144002,87.0563421144002,6.92311374242564,238.536845343669
82,520.685514932254,520.685514932254,165.182027079791,1422.17107657857
83,360.009797808397,360.009797808397,41.3302206637484,1165.68728785196
84,272.489073655883,272.489073655883,36.1662281516674,787.41868464893
85,471.193983468102,471.193983468102,185.655956547999,1469.42766860456
86,452.044738942209,452.044738942209,80.8919041383015,962.560760796098
87,300.201255337113,300.201255337113,27.5368383736287,904.073059282723
88,49.2108177495301,49.2108177495301,25.2245428022155,148.963857327091
89,188.193744375271,188.193744375271,17.5857727448481,611.315019293924
90,80.825397165728,80.825397165728,26.6020160485461,184.235383492537
91,23.7637686193482,23.7637686193482,16.9798688106872,32.4821307252707
92,52.5301245290279,52.5301245290279,10.2297278426628,106.828188740876
93,171.407779194187,171.407779194187,16.9288959980161,522.000403604716
94,464.684965460196,464.684965460196,68.1487654246326,1235.83284507363
95,18.9157549849352,18.9157549849352,1.57547898990339,57.7820020528594
96,147.705447754102,147.705447754102,29.9263315746762,383.852904248969
97,685.754663170766,685.754663170766,1128.65215854505,1112.65061110031
98,181.386624646886,181.386624646886,24.5464381989559,432.278538796896
