paramset,ss_A1,ss_Anons1,ss_Aprim1,ss_Aprim2,ss_B1
1,0,19.027636421087,12.4825763163518,12.4825763163518,65.0905816434687
2,0,3.53790604425077,1.09674936872811,1.09674936872811,6.06260700969533
3,0,58.8959108340102,16.8150464849761,16.8150464849761,26.5817710939165
4,0,37.4476853591132,1.96191095407987,1.96191095407987,0.387054743195206
5,0,42.7148125203239,4.13415976058543,4.13415976058543,86.0216436008584
6,0,2.30115494694628,1.73941217722994,1.73941217722994,2.51177713333479
7,0,0.844791131947903,0.32692880283,0.32692880283,0.0077159061810671
8,0,7.46247506119704,0.8990041767794,0.8990041767794,0.839768848897832
9,0,809.295903554182,782.426048664742,782.426048664742,2267.7079144323
10,0,141.14851279637,99.3682876764337,99.3682876764337,0.112817271581791
11,0,49.3016379011347,28.3942802856568,28.3942802856568,223.609565725137
12,0,6.52603971708371,6.37797027278565,6.37797027278565,21.1486691492673
13,0,0.40259361017577,0.0316971895648341,0.0316971895648341,0.0390267899522299
14,0,6.20708026802328,0.600564139681884,0.600564139681884,0.00772692802386521
15,0,0.21206608514239,0.16803365024329,0.16803365024329,0.0963902069867374
16,0,13.3416571091845,0.596340883632019,0.596340883632019,0.0642041657158188
17,0,0.182307721485708,0.0171789482320881,0.0171789482320881,2.73054265114302
18,0,49.0110820074257,13.7773511962249,13.7773511962249,7.99025391174368
19,0,1005.7323451821,549.458561851332,549.458561851332,4085.81322473677
20,0,4.25124104268973,0.311937404087805,0.311937404087805,101.089258716625
21,0,2.67738414193071,1.36888976410775,1.36888976410775,0.00256721056641118
22,0,134.600192339817,73.7624209901533,73.7624209901533,30.7634460942728
23,0,0.174903658745208,0.0784162041738126,0.0784162041738126,0.00522564272625961
24,0,0.650320018742738,1.09898877249315e-06,1.09898877249315e-06,1.48542660479691e-34
25,0,74.7617956397841,47.1712575687108,47.1712575687108,16.9266916336972
26,0,503.844105792666,137.277973503637,137.277973503637,0.129544704041396
27,0,1.29293343226373,0.013891268559713,0.013891268559713,2.96651291548709e-09
28,0,25.1157914431185,15.8261298440331,15.8261298440331,12.8217651547114
29,0,7.91125984223316,6.18251124909349,6.18251124909349,0.0666740992015769
30,0,257.882040810891,97.2859155831106,97.2859155831106,896.859488331543
31,0,217.185129243008,24.1723789765905,24.1723789765905,3.33827580369933
32,0,1.78365823417091,1.66304815219711,1.66304815219711,3.49489803679487
33,0,0.201481306959484,0.0296272447834106,0.0296272447834106,1.16853106508759
34,0,0.0624931991040185,1.75999970699371e-08,1.75999970699371e-08,7.65657707831556e-43
35,0,22.3059782167472,0.440294144354395,0.440294144354395,0.000364145618684064
36,0,4.01579317833203,2.86116096557859,2.86116096557859,20.5985288164888
37,0,6.64859390681909,5.63201448208254,5.63201448208254,1.64541486540491
38,0,18.6080998062833,5.25597316803424,5.25597316803424,1.35597036428013
39,0,0.197747284225735,0.0955529947283006,0.0955529947283006,0.0171439318243179
40,0,24.2325549662126,1.729630364257,1.729630364257,1.17486590092964
41,0,758.995700158424,183.239615096166,183.239615096166,377.968883853962
42,0,91.0613701623718,36.7943416882025,36.7943416882025,44.6396260286155
43,0,129.878426358331,14.6994432220577,14.6994432220577,82.1405211656144
44,0,13.4084880649037,8.5430760881159,8.5430760881159,0.02027869939387
45,0,2.19204614148009,1.93190306026926,1.93190306026926,1.0262935879199
46,0,229.444320485778,47.0996392921688,47.0996392921688,4.88794469101097
47,0,0.0661313329054408,0.00431300510097977,0.00431300510097977,0.000964159058649796
48,0,794.151374727863,590.677384127862,590.677384127862,5279.86417879965
49,0,10.7293240891355,5.05407791784079e-05,5.05407791784079e-05,1.19305990037366e-29
50,0,4.92323002522293,0.962036133411848,0.962036133411848,0.0107466073187788
51,0,770.591242858354,516.73104548283,516.73104548283,91.9790932003909
52,0,0.659565150498072,0.350845161280774,0.350845161280774,1.3627266251703
53,0,75.3119124707087,11.1391193281417,11.1391193281417,0.56117337457795
54,0,3.9673492363067,0.178766733644659,0.178766733644659,3.23869312461854
55,0,0.464299131692612,0.0716488842568607,0.0716488842568607,2.85324818722416
56,0,0.362261126262514,0.0197364418993556,0.0197364418993556,5.8949418577991e-06
57,0,108.604871624358,18.3904037331018,18.3904037331018,0.459742452088545
58,0,5.73925627350198,3.47726189930784,3.47726189930784,0.546478329963262
59,0,0.0912253504298702,0.00877559805474261,0.00877559805474261,0.443524495074777
60,0,0.339787882776051,0.0173452199047833,0.0173452199047833,1.30450682517656e-05
61,0,2.40724797682614,0.19420591049872,0.19420591049872,52.8266095233117
62,0,1.10578487755037,0.97232117804715,0.97232117804715,5.43686504215759
63,0,0.184615089337007,0.0147099805387328,0.0147099805387328,8.8261741664315e-05
